CountryCode,Name,District,Population
GBR,Newport,Wales,139000
GBR,Preston,England,135000
GBR,Stockport,England,132813
GBR,Norwich,England,124000
GBR,Rotherham,England,121380
GBR,Cambridge,England,121000
GBR,Watford,England,113080
GBR,Ipswich,England,114000
GBR,Slough,England,112000
GBR,Exeter,England,111000
GBR,Cheltenham,England,106000
GBR,Gloucester,England,107000
GBR,"Saint Helens",England,106293
GBR,"Sutton Coldfield",England,106001
GBR,York,England,104425
GBR,Oldham,England,103931
GBR,Basildon,England,100924
GBR,Worthing,England,100000
GBR,Chelmsford,England,97451
GBR,Colchester,England,96063
GBR,Crawley,England,97000
GBR,Gillingham,England,92000
GBR,Solihull,England,94531
GBR,Rochdale,England,94313
GBR,Birkenhead,England,93087
GBR,Worcester,England,95000
GBR,Hartlepool,England,92000
GBR,Halifax,England,91069
GBR,Woking/Byfleet,England,92000
GBR,Southport,England,90959
GBR,Maidstone,England,90878
GBR,Eastbourne,England,90000
GBR,Grimsby,England,89000
GBR,"Saint Helier",Jersey,27523
GBR,Douglas,–,23487
VGB,"Road Town",Tortola,8000
BRN,"Bandar Seri Begawan","Brunei and Muara",21484
BGR,Sofija,"Grad Sofija",1122302
BGR,Plovdiv,Plovdiv,342584
BGR,Varna,Varna,299801
BGR,Burgas,Burgas,195255
BGR,Ruse,Ruse,166467
BGR,"Stara Zagora",Haskovo,147939
BGR,Pleven,Lovec,121952
BGR,Sliven,Burgas,105530
BGR,Dobric,Varna,100399
BGR,Šumen,Varna,94686
BFA,Ouagadougou,Kadiogo,824000
BFA,Bobo-Dioulasso,Houet,300000
BFA,Koudougou,Boulkiemdé,105000
BDI,Bujumbura,Bujumbura,300000
CYM,"George Town","Grand Cayman",19600
CHL,"Santiago de Chile",Santiago,4703954
CHL,"Puente Alto",Santiago,386236
CHL,"Viña del Mar",Valparaíso,312493
CHL,Valparaíso,Valparaíso,293800
CHL,Talcahuano,Bíobío,277752
CHL,Antofagasta,Antofagasta,251429
CHL,"San Bernardo",Santiago,241910
CHL,Temuco,"La Araucanía",233041
CHL,Concepción,Bíobío,217664
CHL,Rancagua,O´Higgins,212977
CHL,Arica,Tarapacá,189036
CHL,Talca,Maule,187557
CHL,Chillán,Bíobío,178182
CHL,Iquique,Tarapacá,177892
CHL,"Los Angeles",Bíobío,158215
CHL,"Puerto Montt","Los Lagos",152194
CHL,Coquimbo,Coquimbo,143353
CHL,Osorno,"Los Lagos",141468
CHL,"La Serena",Coquimbo,137409
CHL,Calama,Antofagasta,137265
CHL,Valdivia,"Los Lagos",133106
CHL,"Punta Arenas",Magallanes,125631
CHL,Copiapó,Atacama,120128
CHL,Quilpué,Valparaíso,118857
CHL,Curicó,Maule,115766
CHL,Ovalle,Coquimbo,94854
CHL,Coronel,Bíobío,93061
CHL,"San Pedro de la Paz",Bíobío,91684
CHL,Melipilla,Santiago,91056
COK,Avarua,Rarotonga,11900
CRI,"San José","San José",339131
DJI,Djibouti,Djibouti,383000
DMA,Roseau,"St George",16243
DOM,"Santo Domingo de Guzmán","Distrito Nacional",1609966
DOM,"Santiago de los Caballeros",Santiago,365463
DOM,"La Romana","La Romana",140204
DOM,"San Pedro de Macorís","San Pedro de Macorís",124735
DOM,"San Francisco de Macorís",Duarte,108485
DOM,"San Felipe de Puerto Plata","Puerto Plata",89423
ECU,Guayaquil,Guayas,2070040
ECU,Quito,Pichincha,1573458
ECU,Cuenca,Azuay,270353
ECU,Machala,"El Oro",210368
ECU,"Santo Domingo de los Colorados",Pichincha,202111
ECU,Portoviejo,Manabí,176413
ECU,Ambato,Tungurahua,169612
ECU,Manta,Manabí,164739
ECU,"Duran [Eloy Alfaro]",Guayas,152514
ECU,Ibarra,Imbabura,130643
ECU,Quevedo,"Los Ríos",129631
ECU,Milagro,Guayas,124177
ECU,Loja,Loja,123875
ECU,Ríobamba,Chimborazo,123163
ECU,Esmeraldas,Esmeraldas,123045
EGY,Cairo,Kairo,6789479
EGY,Alexandria,Aleksandria,3328196
EGY,Giza,Giza,2221868
EGY,"Shubra al-Khayma",al-Qalyubiya,870716
EGY,"Port Said","Port Said",469533
EGY,Suez,Suez,417610
EGY,"al-Mahallat al-Kubra",al-Gharbiya,395402
EGY,Tanta,al-Gharbiya,371010
EGY,al-Mansura,al-Daqahliya,369621
EGY,Luxor,Luxor,360503
EGY,Asyut,Asyut,343498
EGY,Bahtim,al-Qalyubiya,275807
EGY,Zagazig,al-Sharqiya,267351
EGY,al-Faiyum,al-Faiyum,260964
EGY,Ismailia,Ismailia,254477
EGY,"Kafr al-Dawwar",al-Buhayra,231978
EGY,Assuan,Assuan,219017
EGY,Damanhur,al-Buhayra,212203
EGY,al-Minya,al-Minya,201360
EGY,"Bani Suwayf","Bani Suwayf",172032
EGY,Qina,Qina,171275
EGY,Sawhaj,Sawhaj,170125
EGY,"Shibin al-Kawm",al-Minufiya,159909
EGY,"Bulaq al-Dakrur",Giza,148787
EGY,Banha,al-Qalyubiya,145792
EGY,"Warraq al-Arab",Giza,127108
EGY,"Kafr al-Shaykh","Kafr al-Shaykh",124819
EGY,Mallawi,al-Minya,119283
EGY,Bilbays,al-Sharqiya,113608
EGY,"Mit Ghamr",al-Daqahliya,101801
EGY,al-Arish,"Shamal Sina",100447
EGY,Talkha,al-Daqahliya,97700
EGY,Qalyub,al-Qalyubiya,97200
EGY,Jirja,Sawhaj,95400
EGY,Idfu,Qina,94200
EGY,al-Hawamidiya,Giza,91700
EGY,Disuq,"Kafr al-Shaykh",91300
SLV,"San Salvador","San Salvador",415346
SLV,"Santa Ana","Santa Ana",139389
SLV,Mejicanos,"San Salvador",138800
SLV,Soyapango,"San Salvador",129800
SLV,"San Miguel","San Miguel",127696
SLV,"Nueva San Salvador","La Libertad",98400
SLV,Apopa,"San Salvador",88800
ERI,Asmara,Maekel,431000
ESP,Madrid,Madrid,2879052
ESP,Barcelona,Katalonia,1503451
ESP,Valencia,Valencia,739412
ESP,Sevilla,Andalusia,701927
ESP,Zaragoza,Aragonia,603367
ESP,Málaga,Andalusia,530553
ESP,Bilbao,Baskimaa,357589
ESP,"Las Palmas de Gran Canaria","Canary Islands",354757
ESP,Murcia,Murcia,353504
ESP,"Palma de Mallorca",Balears,326993
ESP,Valladolid,"Castilla and León",319998
ESP,Córdoba,Andalusia,311708
ESP,Vigo,Galicia,283670
ESP,"Alicante [Alacant]",Valencia,272432
ESP,Gijón,Asturia,267980
ESP,"L´Hospitalet de Llobregat",Katalonia,247986
ESP,Granada,Andalusia,244767
ESP,"A Coruña (La Coruña)",Galicia,243402
ESP,Vitoria-Gasteiz,Baskimaa,217154
ESP,"Santa Cruz de Tenerife","Canary Islands",213050
ESP,Badalona,Katalonia,209635
ESP,Oviedo,Asturia,200453
ESP,Móstoles,Madrid,195351
ESP,"Elche [Elx]",Valencia,193174
ESP,Sabadell,Katalonia,184859
ESP,Santander,Cantabria,184165
ESP,"Jerez de la Frontera",Andalusia,182660
ESP,"Pamplona [Iruña]",Navarra,180483
ESP,"Donostia-San Sebastián",Baskimaa,179208
ESP,Cartagena,Murcia,177709
ESP,Leganés,Madrid,173163
ESP,Fuenlabrada,Madrid,171173
ESP,Almería,Andalusia,169027
ESP,Terrassa,Katalonia,168695
ESP,"Alcalá de Henares",Madrid,164463
ESP,Burgos,"Castilla and León",162802
ESP,Salamanca,"Castilla and León",158720
ESP,Albacete,"Kastilia-La Mancha",147527
ESP,Getafe,Madrid,145371
ESP,Cádiz,Andalusia,142449
ESP,Alcorcón,Madrid,142048
ESP,Huelva,Andalusia,140583
ESP,León,"Castilla and León",139809
ESP,"Castellón de la Plana [Castell",Valencia,139712
ESP,Badajoz,Extremadura,136613
ESP,"[San Cristóbal de] la Laguna","Canary Islands",127945
ESP,Logroño,"La Rioja",127093
ESP,"Santa Coloma de Gramenet",Katalonia,120802
ESP,Tarragona,Katalonia,113016
ESP,"Lleida (Lérida)",Katalonia,112207
ESP,Jaén,Andalusia,109247
ESP,"Ourense (Orense)",Galicia,109120
ESP,Mataró,Katalonia,104095
ESP,Algeciras,Andalusia,103106
ESP,Marbella,Andalusia,101144
ESP,Barakaldo,Baskimaa,98212
ESP,"Dos Hermanas",Andalusia,94591
ESP,"Santiago de Compostela",Galicia,93745
ESP,"Torrejón de Ardoz",Madrid,92262
ZAF,"Cape Town","Western Cape",2352121
ZAF,Soweto,Gauteng,904165
ZAF,Johannesburg,Gauteng,756653
ZAF,"Port Elizabeth","Eastern Cape",752319
ZAF,Pretoria,Gauteng,658630
ZAF,Inanda,KwaZulu-Natal,634065
ZAF,Durban,KwaZulu-Natal,566120
ZAF,Vanderbijlpark,Gauteng,468931
ZAF,"Kempton Park",Gauteng,442633
ZAF,Alberton,Gauteng,410102
ZAF,Pinetown,KwaZulu-Natal,378810
ZAF,Pietermaritzburg,KwaZulu-Natal,370190
ZAF,Benoni,Gauteng,365467
ZAF,Randburg,Gauteng,341288
ZAF,Umlazi,KwaZulu-Natal,339233
ZAF,Bloemfontein,"Free State",334341
ZAF,Vereeniging,Gauteng,328535
ZAF,Wonderboom,Gauteng,283289
ZAF,Roodepoort,Gauteng,279340
ZAF,Boksburg,Gauteng,262648
ZAF,Klerksdorp,"North West",261911
ZAF,Soshanguve,Gauteng,242727
ZAF,Newcastle,KwaZulu-Natal,222993
ZAF,"East London","Eastern Cape",221047
ZAF,Welkom,"Free State",203296
ZAF,Kimberley,"Northern Cape",197254
ZAF,Uitenhage,"Eastern Cape",192120
ZAF,Chatsworth,KwaZulu-Natal,189885
ZAF,Mdantsane,"Eastern Cape",182639
ZAF,Krugersdorp,Gauteng,181503
ZAF,Botshabelo,"Free State",177971
ZAF,Brakpan,Gauteng,171363
ZAF,Witbank,Mpumalanga,167183
ZAF,Oberholzer,Gauteng,164367
ZAF,Germiston,Gauteng,164252
ZAF,Springs,Gauteng,162072
ZAF,Westonaria,Gauteng,159632
ZAF,Randfontein,Gauteng,120838
ZAF,Paarl,"Western Cape",105768
ZAF,Potchefstroom,"North West",101817
ZAF,Rustenburg,"North West",97008
ZAF,Nigel,Gauteng,96734
ZAF,George,"Western Cape",93818
ZAF,Ladysmith,KwaZulu-Natal,89292
ETH,"Addis Abeba","Addis Abeba",2495000
ETH,"Dire Dawa","Dire Dawa",164851
ETH,Nazret,Oromia,127842
ETH,Gonder,Amhara,112249
ETH,Dese,Amhara,97314
ETH,Mekele,Tigray,96938
ETH,"Bahir Dar",Amhara,96140
FLK,Stanley,"East Falkland",1636
FJI,Suva,Central,77366
PHL,Quezon,"National Capital Reg",2173831
PHL,Manila,"National Capital Reg",1581082
PHL,Kalookan,"National Capital Reg",1177604
PHL,Davao,"Southern Mindanao",1147116
PHL,Cebu,"Central Visayas",718821
PHL,Zamboanga,"Western Mindanao",601794
PHL,Pasig,"National Capital Reg",505058
PHL,Valenzuela,"National Capital Reg",485433
PHL,"Las Piñas","National Capital Reg",472780
PHL,Antipolo,"Southern Tagalog",470866
PHL,Taguig,"National Capital Reg",467375
PHL,"Cagayan de Oro","Northern Mindanao",461877
PHL,Parañaque,"National Capital Reg",449811
PHL,Makati,"National Capital Reg",444867
PHL,Bacolod,"Western Visayas",429076
PHL,"General Santos","Southern Mindanao",411822
PHL,Marikina,"National Capital Reg",391170
PHL,Dasmariñas,"Southern Tagalog",379520
PHL,Muntinlupa,"National Capital Reg",379310
PHL,Iloilo,"Western Visayas",365820
PHL,Pasay,"National Capital Reg",354908
PHL,Malabon,"National Capital Reg",338855
PHL,"San José del Monte","Central Luzon",315807
PHL,Bacoor,"Southern Tagalog",305699
PHL,Iligan,"Central Mindanao",285061
PHL,Calamba,"Southern Tagalog",281146
PHL,Mandaluyong,"National Capital Reg",278474
PHL,Butuan,Caraga,267279
PHL,Angeles,"Central Luzon",263971
PHL,Tarlac,"Central Luzon",262481
PHL,Mandaue,"Central Visayas",259728
PHL,Baguio,CAR,252386
PHL,Batangas,"Southern Tagalog",247588
PHL,Cainta,"Southern Tagalog",242511
PHL,"San Pedro","Southern Tagalog",231403
PHL,Navotas,"National Capital Reg",230403
PHL,Cabanatuan,"Central Luzon",222859
PHL,"San Fernando","Central Luzon",221857
PHL,Lipa,"Southern Tagalog",218447
PHL,Lapu-Lapu,"Central Visayas",217019
PHL,"San Pablo","Southern Tagalog",207927
PHL,Biñan,"Southern Tagalog",201186
PHL,Taytay,"Southern Tagalog",198183
PHL,Lucena,"Southern Tagalog",196075
PHL,Imus,"Southern Tagalog",195482
PHL,Olongapo,"Central Luzon",194260
PHL,Binangonan,"Southern Tagalog",187691
PHL,"Santa Rosa","Southern Tagalog",185633
PHL,Tagum,"Southern Mindanao",179531
PHL,Tacloban,"Eastern Visayas",178639
PHL,Malolos,"Central Luzon",175291
PHL,Mabalacat,"Central Luzon",171045
PHL,Cotabato,"Central Mindanao",163849
PHL,Meycauayan,"Central Luzon",163037
PHL,"Puerto Princesa","Southern Tagalog",161912
PHL,Legazpi,Bicol,157010
PHL,Silang,"Southern Tagalog",156137
PHL,Ormoc,"Eastern Visayas",154297
PHL,"San Carlos",Ilocos,154264
PHL,Kabankalan,"Western Visayas",149769
PHL,Talisay,"Central Visayas",148110
PHL,Valencia,"Northern Mindanao",147924
PHL,Calbayog,"Eastern Visayas",147187
PHL,"Santa Maria","Central Luzon",144282
PHL,Pagadian,"Western Mindanao",142515
PHL,Cadiz,"Western Visayas",141954
PHL,Bago,"Western Visayas",141721
PHL,Toledo,"Central Visayas",141174
PHL,Naga,Bicol,137810
PHL,"San Mateo","Southern Tagalog",135603
PHL,Panabo,"Southern Mindanao",133950
PHL,Koronadal,"Southern Mindanao",133786
PHL,Marawi,"Central Mindanao",131090
PHL,Dagupan,Ilocos,130328
PHL,Sagay,"Western Visayas",129765
PHL,Roxas,"Western Visayas",126352
PHL,Lubao,"Central Luzon",125699
PHL,Digos,"Southern Mindanao",125171
PHL,"San Miguel","Central Luzon",123824
PHL,Malaybalay,"Northern Mindanao",123672
PHL,Tuguegarao,"Cagayan Valley",120645
PHL,Ilagan,"Cagayan Valley",119990
PHL,Baliuag,"Central Luzon",119675
PHL,Surigao,Caraga,118534
PHL,"San Carlos","Western Visayas",118259
PHL,"San Juan del Monte","National Capital Reg",117680
PHL,Tanauan,"Southern Tagalog",117539
PHL,Concepcion,"Central Luzon",115171
PHL,"Rodriguez (Montalban)","Southern Tagalog",115167
PHL,Sariaya,"Southern Tagalog",114568
PHL,Malasiqui,Ilocos,113190
PHL,"General Mariano Alvarez","Southern Tagalog",112446
PHL,Urdaneta,Ilocos,111582
PHL,Hagonoy,"Central Luzon",111425
PHL,"San Jose","Southern Tagalog",111009
PHL,Polomolok,"Southern Mindanao",110709
PHL,Santiago,"Cagayan Valley",110531
PHL,Tanza,"Southern Tagalog",110517
PHL,Ozamis,"Northern Mindanao",110420
PHL,Mexico,"Central Luzon",109481
PHL,"San Jose","Central Luzon",108254
PHL,Silay,"Western Visayas",107722
PHL,"General Trias","Southern Tagalog",107691
PHL,Tabaco,Bicol,107166
PHL,Cabuyao,"Southern Tagalog",106630
PHL,Calapan,"Southern Tagalog",105910
PHL,Mati,"Southern Mindanao",105908
PHL,Midsayap,"Central Mindanao",105760
PHL,Cauayan,"Cagayan Valley",103952
PHL,Gingoog,"Northern Mindanao",102379
PHL,Dumaguete,"Central Visayas",102265
PHL,"San Fernando",Ilocos,102082
PHL,Arayat,"Central Luzon",101792
PHL,"Bayawan (Tulong)","Central Visayas",101391
PHL,Kidapawan,"Central Mindanao",101205
PHL,"Daraga (Locsin)",Bicol,101031
PHL,Marilao,"Central Luzon",101017
PHL,Malita,"Southern Mindanao",100000
PHL,Dipolog,"Western Mindanao",99862
PHL,Cavite,"Southern Tagalog",99367
PHL,Danao,"Central Visayas",98781
PHL,Bislig,Caraga,97860
PHL,Talavera,"Central Luzon",97329
PHL,Guagua,"Central Luzon",96858
PHL,Bayambang,Ilocos,96609
PHL,Nasugbu,"Southern Tagalog",96113
PHL,Baybay,"Eastern Visayas",95630
PHL,Capas,"Central Luzon",95219
PHL,"Sultan Kudarat",ARMM,94861
PHL,Laoag,Ilocos,94466
PHL,Bayugan,Caraga,93623
PHL,Malungon,"Southern Mindanao",93232
PHL,"Santa Cruz","Southern Tagalog",92694
PHL,Sorsogon,Bicol,92512
PHL,Candelaria,"Southern Tagalog",92429
PHL,Ligao,Bicol,90603
FRO,Tórshavn,Streymoyar,14542
GAB,Libreville,Estuaire,419000
GMB,Serekunda,"Kombo St Mary",102600
GMB,Banjul,Banjul,42326
GEO,Tbilisi,Tbilisi,1235200
GEO,Kutaisi,Imereti,240900
GEO,Rustavi,"Kvemo Kartli",155400
GEO,Batumi,"Adzaria [Atšara]",137700
GEO,Sohumi,"Abhasia [Aphazeti]",111700
GHA,Accra,"Greater Accra",1070000
GHA,Kumasi,Ashanti,385192
GHA,Tamale,Northern,151069
GHA,Tema,"Greater Accra",109975
GHA,Sekondi-Takoradi,Western,103653
GIB,Gibraltar,–,27025
GRD,"Saint George´s","St George",4621
GRL,Nuuk,Kitaa,13445
GLP,"Les Abymes",Grande-Terre,62947
GLP,Basse-Terre,Basse-Terre,12433
GUM,Tamuning,–,9500
GUM,Agaña,–,1139
GTM,"Ciudad de Guatemala",Guatemala,823301
GTM,Mixco,Guatemala,209791
GTM,"Villa Nueva",Guatemala,101295
GTM,Quetzaltenango,Quetzaltenango,90801
GIN,Conakry,Conakry,1090610
GNB,Bissau,Bissau,241000
GUY,Georgetown,Georgetown,254000
HTI,Port-au-Prince,Ouest,884472
HTI,Carrefour,Ouest,290204
HTI,Delmas,Ouest,240429
HTI,Le-Cap-Haïtien,Nord,102233
HND,Tegucigalpa,"Distrito Central",813900
HND,"San Pedro Sula",Cortés,383900
HND,"La Ceiba",Atlántida,89200
HKG,"Kowloon and New Kowloon","Kowloon and New Kowl",1987996
HKG,Victoria,Hongkong,1312637
SJM,Longyearbyen,Länsimaa,1438
IDN,Jakarta,"Jakarta Raya",9604900
IDN,Surabaya,"East Java",2663820
IDN,Bandung,"West Java",2429000
IDN,Medan,"Sumatera Utara",1843919
IDN,Palembang,"Sumatera Selatan",1222764
IDN,Tangerang,"West Java",1198300
IDN,Semarang,"Central Java",1104405
IDN,"Ujung Pandang","Sulawesi Selatan",1060257
IDN,Malang,"East Java",716862
IDN,"Bandar Lampung",Lampung,680332
IDN,Bekasi,"West Java",644300
IDN,Padang,"Sumatera Barat",534474
IDN,Surakarta,"Central Java",518600
IDN,Banjarmasin,"Kalimantan Selatan",482931
IDN,"Pekan Baru",Riau,438638
IDN,Denpasar,Bali,435000
IDN,Yogyakarta,Yogyakarta,418944
IDN,Pontianak,"Kalimantan Barat",409632
IDN,Samarinda,"Kalimantan Timur",399175
IDN,Jambi,Jambi,385201
IDN,Depok,"West Java",365200
IDN,Cimahi,"West Java",344600
IDN,Balikpapan,"Kalimantan Timur",338752
IDN,Manado,"Sulawesi Utara",332288
IDN,Mataram,"Nusa Tenggara Barat",306600
IDN,Pekalongan,"Central Java",301504
IDN,Tegal,"Central Java",289744
IDN,Bogor,"West Java",285114
IDN,Ciputat,"West Java",270800
IDN,Pondokgede,"West Java",263200
IDN,Cirebon,"West Java",254406
IDN,Kediri,"East Java",253760
IDN,Ambon,Molukit,249312
IDN,Jember,"East Java",218500
IDN,Cilacap,"Central Java",206900
IDN,Cimanggis,"West Java",205100
IDN,"Pematang Siantar","Sumatera Utara",203056
IDN,Purwokerto,"Central Java",202500
IDN,Ciomas,"West Java",187400
IDN,Tasikmalaya,"West Java",179800
IDN,Madiun,"East Java",171532
IDN,Bengkulu,Bengkulu,146439
IDN,Karawang,"West Java",145000
IDN,"Banda Aceh",Aceh,143409
IDN,Palu,"Sulawesi Tengah",142800
IDN,Pasuruan,"East Java",134019
IDN,Kupang,"Nusa Tenggara Timur",129300
IDN,"Tebing Tinggi","Sumatera Utara",129300
IDN,"Percut Sei Tuan","Sumatera Utara",129000
IDN,Binjai,"Sumatera Utara",127222
IDN,Sukabumi,"West Java",125766
IDN,Waru,"East Java",124300
IDN,"Pangkal Pinang","Sumatera Selatan",124000
IDN,Magelang,"Central Java",123800
IDN,Blitar,"East Java",122600
IDN,Serang,"West Java",122400
IDN,Probolinggo,"East Java",120770
IDN,Cilegon,"West Java",117000
IDN,Cianjur,"West Java",114300
IDN,Ciparay,"West Java",111500
IDN,Lhokseumawe,Aceh,109600
IDN,Taman,"East Java",107000
